name,position,type,appearances,rating,goals,assists,totalShots,shotsOnTarget,accuratePasses,keyPasses,accurateLongBalls,successfulDribbles,tackles,interceptions
Mohamed Salah,F,overall,8,7.8125,5,5,24,16,180,16,11,15,5,2
Luis Díaz,F,overall,8,7.525,5,1,17,9,159,10,6,11,8,2
Caoimhin Kelleher,G,overall,2,7.5,,,,,56,,,,,
Virgil van Dijk,D,overall,8,7.3125,,,5,1,584,2,33,1,4,18
Ryan Gravenberch,M,overall,8,7.2625,,,3,2,460,4,12,7,16,12
Ibrahima Konaté,D,overall,8,7.25,1,1,5,2,464,2,14,1,9,3
Trent Alexander-Arnold,D,overall,8,7.1875,,1,8,2,282,17,24,4,21,6
Alisson,G,overall,6,7.1666666666667,,,,,159,,,,,
Curtis Jones,M,overall,5,7.12,1,,5,3,113,4,3,4,6,1
Dominik Szoboszlai,M,overall,8,7.1,,1,12,3,306,12,12,6,4,3
Jarell Quansah,D,overall,1,7.1,,,,,25,,,,2,1
Vítězslav Jaroš,G,overall,1,7.1,,,,,4,,,,,
Alexis Mac Allister,M,overall,8,7.025,,,4,2,291,8,16,1,20,3
Cody Gakpo,F,overall,8,6.9875,,1,7,,83,9,4,6,8,3
Andrew Robertson,D,overall,8,6.975,,,3,2,344,10,12,2,8,3
Darwin Núñez,F,overall,5,6.88,1,,4,2,28,1,2,1,9,
Konstantinos Tsimikas,D,overall,4,6.825,,,1,,91,1,6,1,3,2
Joe Gomez,D,overall,2,6.8,,,,,5,,,,4,1
Diogo Jota,F,overall,7,6.7142857142857,2,2,14,3,70,3,3,2,3,3
Conor Bradley,D,overall,4,6.7,,,2,1,61,,,1,,2
Wataru Endo,M,overall,2,6.7,,,,,6,1,,,,
Harvey Elliott,M,overall,1,6.6,,,,,11,,,,,
Federico Chiesa,F,overall,1,6.4,,,2,1,7,,,,,
